Title Start-time vs End-time
xTitle Start-time
yTitle End-time
xLower 0
xUpper 1320000000000
xInterval 100000000000
yLower 0
yUpper 1330000000000
yInterval 100000000000
Data
946867685000 946954085000
978490085000 978662885000
1325558885000 1357181285000
1357613285000 1389235685000
1420253285000 1483411685000
1357181285000 1515379685000
1515379685000 1547002085000
<<<<<<< HEAD
946867686000 946954086000
978490086000 978662886000
1325558886000 1357181286000
1357181286000 1357613286000
1357613286000 1389235686000
1420253286000 1483411686000
1357181286000 1515379686000
1515379686000 1547002086000
946867687000 946954087000
978490087000 978662887000
1325558887000 1357181287000
1357181287000 1357613287000
1357613287000 1389235687000
1420253287000 1483411687000
1357181287000 1515379687000
1515379687000 1547002087000
946867688000 946954088000
978490088000 978662888000
1325558888000 1357181288000
1357181288000 1357613288000
1357613288000 1389235688000
1420253288000 1483411688000
1357181288000 1515379688000
1515379688000 1547002088000
946867689000 946954089000
978490089000 978662889000
1325558889000 1357181289000
1357181289000 1357613289000
1357613289000 1389235689000
1420253289000 1483411689000
1357181289000 1515379689000
1515379689000 1547002089000
946867690000 946954090000
978490090000 978662890000
1325558890000 1357181290000
1357181290000 1357613290000
1357613290000 1389235690000
1420253290000 1483411690000
1357181290000 1515379690000
1515379690000 1547002090000
946867691000 946954091000
978490091000 978662891000
=======
1357181285000 1357613285000
>>>>>>> origin/master
